Product_Group,Product_line,Customer_region,Customer_country,Quarter_year,Volume_kg,Revenue_eur,Gross Margin_eur
LVL,LVL 304,EMEA,Belgium,Q3 2022,30401,10008.25,1083.798
LVL,LVL 304,EMEA,Belgium,Q3 2022,21311,6715.075,751.5545
LVL,LVL 304,EMEA,Belgium,Q3 2022,53681.5,16914.9875,3151.701
LVL,LVL 304,EMEA,Belgium,Q4 2022,30077.8,9477.485,1149.348
LVL,LVL 304,EMEA,Belgium,Q4 2022,134380.5,77734.4625,42622.263
LVL,LVL 304,EMEA,Czech Republic,Q3 2022,6619.8,2448.183,445.1233
LVL,LVL 304,EMEA,Czech Republic,Q4 2022,5830.32,2125.2118,386.3995
LVL,LVL 304,EMEA,Czech Republic,Q4 2022,5100,1852.8552,336.881
LVL,LVL 304,EMEA,Czech Republic,Q4 2022,11220,4079.917,741.7978
LVL,LVL 304,EMEA,Germany,Q4 2022,0,102533.5,102533.5
LVL,LVL 304,EMEA,Denmark,Q3 2022,1316209.02,192014.8368,94073.4227
LVL,LVL 304,EMEA,Denmark,Q3 2022,98348.4,3901.7086,-303.9107
LVL,LVL 304,EMEA,Denmark,Q3 2022,100368,4072.0503,-364.2835
LVL,LVL 304,EMEA,Denmark,Q4 2022,1667470.5,227224.0714,14255.023
LVL,LVL 304,EMEA,Denmark,Q4 2022,98226,4121.7725,-586.365
LVL,LVL 304,EMEA,Denmark,Q4 2022,203326.8,223324.8557,11318.445
LVL,LVL 304,EMEA,Estonia,Q3 2022,573892.8,177080.2512,28388.2625
LVL,LVL 304,EMEA,Estonia,Q3 2022,416466,138553.1413,22816.9996
LVL,LVL 304,EMEA,Estonia,Q3 2022,450085.2,165821.1993,44192.4337
LVL,LVL 304,EMEA,Estonia,Q4 2022,342271.2,104539.0534,9163.5609
LVL,LVL 304,EMEA,Estonia,Q4 2022,622557,137428.9695,-12272.0423
LVL,LVL 304,EMEA,Estonia,Q4 2022,780748.8,254497.2316,35911.5728
LVL,LVL 304,EMEA,Estonia,Q3 2022,1286699.6,395764.034,49486.279
LVL,LVL 304,EMEA,Estonia,Q3 2022,1598668.4,476072.7685,14281.046
LVL,LVL 304,EMEA,Estonia,Q3 2022,1192476.7,354861.4515,17525.2295
LVL,LVL 304,EMEA,Estonia,Q4 2022,1417989.5,424859.741,26207.764
LVL,LVL 304,EMEA,Estonia,Q4 2022,1293486.8,380666.197,30878.5625
LVL,LVL 304,EMEA,Estonia,Q4 2022,1368388.4,403207.151,37085.074
LVL,LVL 304,EMEA,Spain,Q3 2022,0,0,0.0097
LVL,LVL 304,EMEA,Spain,Q4 2022,0,-15.52,-15.52
LVL,LVL 304,EMEA,Finland,Q3 2022,13658071.32,3444110.964,546217.1268
LVL,LVL 304,EMEA,Finland,Q3 2022,13075402.44,3162238.868,463503.4032
LVL,LVL 304,EMEA,Finland,Q3 2022,12712172.28,2988605.657,451109.1118
LVL,LVL 304,EMEA,Finland,Q4 2022,15376587.72,3652936.968,552520.4681
LVL,LVL 304,EMEA,Finland,Q4 2022,11993789.34,2910687.1,481539.9906
LVL,LVL 304,EMEA,Finland,Q4 2022,13849092.84,3360910.63,619594.4646
LVL,LVL 304,EMEA,Finland,Q3 2022,42616567.49,9567220.566,2086176.478
LVL,LVL 304,EMEA,Finland,Q3 2022,42542374.44,9019488.927,2460567.251
LVL,LVL 304,EMEA,Finland,Q3 2022,39392712.8,8551484.461,2017891.485
LVL,LVL 304,EMEA,Finland,Q4 2022,40599996.53,8572132.673,2068682.124
LVL,LVL 304,EMEA,Finland,Q4 2022,41152958.41,8600358.341,2038365.448
LVL,LVL 304,EMEA,Finland,Q4 2022,63678158.81,13650685.95,3274815.975
LVL,LVL 304,EMEA,United Kingdom,Q3 2022,0,0,-90.7338
LVL,LVL 304,EMEA,United Kingdom,Q3 2022,82008,26653.272,2387.1215
LVL,LVL 304,EMEA,Hungary,Q3 2022,593415.6,564.3266,-29062.8199
LVL,LVL 304,EMEA,Hungary,Q3 2022,446882.4,424.9764,-21886.2846
LVL,LVL 304,EMEA,Hungary,Q3 2022,530644.8,504.6328,-25988.5892
LVL,LVL 304,EMEA,Hungary,Q4 2022,500452.8,475.9208,-24509.9212
LVL,LVL 304,EMEA,Hungary,Q4 2022,454654.8,432.3678,-22266.9417
LVL,LVL 304,EMEA,Hungary,Q4 2022,399962.4,380.3564,-19588.3546
LVL,LVL 304,EMEA,Latvia,Q3 2022,26581.2,4145.6248,1047.8425
LVL,LVL 304,EMEA,Latvia,Q3 2022,26683.2,4161.5328,1012.1465
LVL,LVL 304,EMEA,Latvia,Q4 2022,25581.6,3989.7264,180.0029
LVL,LVL 304,EMEA,Latvia,Q4 2022,0,0,792.102
LVL,LVL 304,EMEA,Latvia,Q4 2022,26356.8,4110.6272,955.3724
LVL,LVL 304,EMEA,Netherlands,Q3 2022,929801.4,67941.0989,53325.6142
LVL,LVL 304,EMEA,Netherlands,Q3 2022,784777.8,-66310.5677,-85498.2832
LVL,LVL 304,EMEA,Netherlands,Q3 2022,911747.4,867.0539,-26951.935
LVL,LVL 304,EMEA,Netherlands,Q4 2022,1560610.2,1484.1097,-31541.4318
LVL,LVL 304,EMEA,Netherlands,Q4 2022,1086096,1032.856,-20680.4873
LVL,LVL 304,EMEA,Netherlands,Q4 2022,392679.6,373.4306,-12470.7177
LVL,LVL 304,EMEA,Norway,Q3 2022,296524.2,67552.6527,-1800.0387
LVL,LVL 304,EMEA,Norway,Q3 2022,324054,70637.4564,-3301.8024
LVL,LVL 304,EMEA,Norway,Q3 2022,357295.8,57594.1186,4524.8366
LVL,LVL 304,EMEA,Norway,Q4 2022,469597.8,73881.3401,20969.3436
LVL,LVL 304,EMEA,Norway,Q4 2022,485448.6,73700.5321,12920.8074
LVL,LVL 304,EMEA,Norway,Q4 2022,222502.8,50639.0634,-13630.6437
LVL,LVL 304,EMEA,Russian Fed.,Q3 2022,225420,33442.2632,17869.1169
LVL,LVL 304,EMEA,Russian Fed.,Q3 2022,439579.2,32553.394,9333.0975
LVL,LVL 304,EMEA,Russian Fed.,Q3 2022,217402.8,25269.1984,8014.4892
LVL,LVL 304,EMEA,Russian Fed.,Q4 2022,336722.4,53625.8874,34069.5719
LVL,LVL 304,EMEA,Russian Fed.,Q4 2022,408040.8,44069.6123,22712.1814
LVL,LVL 304,EMEA,Russian Fed.,Q4 2022,121482,17449.1748,9457.2963
LVL,LVL 304,EMEA,Russian Fed.,Q4 2022,9473.8,4564.389,1838.383
LVL,LVL 304,EMEA,Sweden,Q3 2022,3187479.6,261800.6817,9339.5771
LVL,LVL 304,EMEA,Sweden,Q3 2022,3881905.8,252266.6875,-9998.1683
LVL,LVL 304,EMEA,Sweden,Q3 2022,3176494.2,228809.0611,-10859.8678
LVL,LVL 304,EMEA,Sweden,Q4 2022,4771294.8,318929.4137,-18060.9538
LVL,LVL 304,EMEA,Sweden,Q4 2022,4009589.4,286397.7574,-29284.2806
LVL,LVL 304,EMEA,Sweden,Q4 2022,3822847.8,297172.7696,-3790.0131
LVL,LVL 304,EMEA,Sweden,Q3 2022,17937.6,1873.248,368.125
LVL,LVL 304,EMEA,Sweden,Q3 2022,6424697.87,130933.104,13386.6685
LVL,LVL 304,EMEA,Sweden,Q3 2022,96879.2,6700.008,430.312
LVL,LVL 304,EMEA,Sweden,Q4 2022,82860.4,8186.777,2998.371
LVL,LVL 304,EMEA,Sweden,Q4 2022,6336026.94,130449.7725,32951.757
LVL,LVL 304,EMEA,Sweden,Q4 2022,6393233.34,132672.2405,31095.7325
LVL,LVL 304,EMEA,Slovenia,Q3 2022,29763.6,10122.7163,558.3417
LVL,LVL 304,EMEA,Slovenia,Q3 2022,43288.8,14463.0104,462.8355
LVL,LVL 304,EMEA,Slovenia,Q3 2022,15626.4,5264.4034,134.4129
LVL,LVL 304,EMEA,Slovenia,Q4 2022,15544.8,5392.6665,349.5104
LVL,LVL 304,EMEA,Slovenia,Q4 2022,15361.2,5270.8151,682.6278
LVL,LVL 304,EMEA,Slovenia,Q4 2022,25398,8609.0798,388.582
LVL,LVL 304,North America,Canada,Q3 2022,2188904.7,228953.0091,3957.5806
LVL,LVL 304,North America,Canada,Q3 2022,2228813.22,250044.7764,16675.9781
LVL,LVL 304,North America,Canada,Q3 2022,2237953.44,251582.6823,66660.0684
LVL,LVL 304,North America,Canada,Q4 2022,1582949.22,183477.6825,29859.3936
LVL,LVL 304,North America,Canada,Q4 2022,2092861.5,236126.9545,53854.7977
LVL,LVL 304,North America,Canada,Q4 2022,1542731.64,181130.9421,41336.5888
